EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0354,CURE PASSIVATION,METAL ETCH DRY,BACKSIDE ETCH CLEAN,IMPLANT P BODY,DEPOSIT PASSIVATION LAYER
valid_0355,SPIN COAT PHOTORESIST,STRIP RESIST,MEASURE EPITAXY THICKNESS,MEASURE FILM THICKNESS,MEASURE PLANARITY
valid_0356,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE FILM THICKNESS,PARAMETRIC TEST
valid_0357,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,EPITAXIAL WAFER CHECK,BACKSIDE GRIND,CMP DIELECTRIC
valid_0358,CURE PASSIVATION,DEPOSIT PASSIVATION,SWITCHING TEST,DEPOSIT BACKSIDE METAL,MEASURE THICKNESS
valid_0359,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,EXPOSE LITHO LEVEL 4
valid_0360,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,POLYSILICON ANNEAL,SHIP LOT
valid_0361,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,EXPOSE LITHO LEVEL 4
valid_0362,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,POLYSILICON ANNEAL,METAL ETCH DRY
valid_0363,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,BACKSIDE ETCH CLEAN
valid_0364,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,FRONTSIDE CLEAN,DENSIFY OXIDE
valid_0365,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 6,ALIGN MASK LEVEL 3
valid_0366,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,RCA CLEAN 2,ALIGN MASK LEVEL 5
valid_0367,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW,DEPOSIT PASSIVATION
valid_0368,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PARAMETRIC TEST,MEASURE JUNCTION DEPTH
valid_0369,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SURFACE PLANARITY,MEASURE FILM THICKNESS,BREAKDOWN VOLTAGE TEST
valid_0370,CURE PASSIVATION,DEPOSIT PASSIVATION,WAFER SORT TEST,LIGHT ANNEAL,SWITCHING TEST
valid_0371,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE FILM THICKNESS,SPIN COAT PHOTORESIST,VIA OPENING INSPECTION
valid_0372,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,ANNEAL DIELECTRIC,MEASURE BACKSIDE CONTACT
valid_0373,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,MEASURE FILM THICKNESS,BACKSIDE DRY
valid_0374,CURE PASSIVATION,PACKAGE PREPARATION,DEPOSIT PASSIVATION,METAL ETCH DRY,SWITCHING TEST
valid_0375,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE DEVICE PARAMETER,DEPOSIT INTERLAYER DIELECTRIC,MEASURE JUNCTION DEPTH,MEASURE JUNCTION PROFILE
valid_0376,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,SHIP LOT
valid_0377,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,DEPOSIT PASSIVATION LAYER,VIA OPENING INSPECTION
valid_0378,CURE PASSIVATION,DEPOSIT PASSIVATION,DEPOSIT BACKSIDE METAL,MEASURE OXIDE QUALITY,DEPOSIT POLYSILICON
valid_0379,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,DEPOSIT TUNGSTEN SEED,EPITAXIAL DEPOSITION,METAL PATTERN INSPECTION
valid_0380,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST
valid_0381,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,IMPLANT CHANNEL STOP,BREAKDOWN VOLTAGE TEST,DENSIFY DIELECTRIC
valid_0382,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,RCA CLEAN 2,CMP METAL
valid_0383,SOFT BAKE,DEVELOP PHOTORESIST,IMPLANT SOURCE REGION,DEPOSIT GATE OXIDE OR DIELECTRIC,FINAL THICKNESS MEASURE
valid_0384,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,CURE PASSIVATION
valid_0385,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP DIELECTRIC,EPITAXIAL WAFER CHECK,OPEN BOND PAD WINDOW
valid_0386,CURE PASSIVATION,DEPOSIT PASSIVATION,DEPOSIT BACKSIDE METAL,MEASURE OXIDE QUALITY,DEPOSIT POLYSILICON
valid_0387,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 6,MEASURE DEVICE PARAMETER,MEASURE INITIAL GEOMETRY
valid_0388,CURE PASSIVATION,DEPOSIT PASSIVATION,METAL ETCH DRY,MEASURE OXIDE QUALITY,PACKAGE PREPARATION
valid_0389,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DEPOSIT METAL SEED,EPITAXIAL WAFER CHECK,CMP DIELECTRIC
valid_0390,CURE PASSIVATION,DEPOSIT PASSIVATION,MEASURE OXIDE QUALITY,DEPOSIT BACKSIDE METAL,DEPOSIT POLYSILICON
valid_0391,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,DEPOSIT TUNGSTEN SEED,EPITAXIAL DEPOSITION,LOT IDENTIFICATION
valid_0392,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,RCA CLEAN 2,CURE PASSIVATION
valid_0393,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,PRE ANNEAL CHECK,BACKSIDE GRIND,EPITAXIAL WAFER CHECK
valid_0394,CURE PASSIVATION,DEPOSIT PASSIVATION,PACKAGE PREPARATION,METAL ETCH DRY,WAFER CLEAN PRE-GRIND
valid_0395,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,THERMAL OXIDATION,POLY PATTERN INSPECTION,DENSIFY DIELECTRIC
valid_0396,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,PARAMETRIC TEST,ALIGN MASK LEVEL 6
valid_0397,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,MEASURE FILM THICKNESS
valid_0398,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,SPIN COAT PHOTORESIST,CMP DIELECTRIC,METAL ETCH DRY
valid_0399,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,EPITAXIAL WAFER CHECK,WET CLEAN RCA1
valid_0400,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,CMP INTERLAYER DIELECTRIC
valid_0401,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,MEASURE SURFACE DEFECTS,DEPOSIT BARRIER METAL,MEASURE BACKSIDE CONTACT
valid_0402,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,METAL ETCH,VIA OPENING INSPECTION
valid_0403,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,INSPECT PATTERN LEVEL 1,SOFT BAKE
valid_0404,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,PATTERN INSPECTION LEVEL 2,BACKSIDE ETCH CLEAN
valid_0405,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,INSPECT PATTERN LEVEL 1
valid_0406,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PATTERN INSPECTION LEVEL 2,CURE PASSIVATION,BACKSIDE THINNING CHECK
valid_0407,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,SPIN COAT PHOTORESIST,WAFER SORT TEST
valid_0408,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,BACKSIDE THINNING CHECK,MEASURE SHEET RESISTANCE
valid_0409,STRIP PHOTORESIST,STRIP RESIST,DIELECTRIC ETCH VIA,MEASURE METAL THICKNESS,FRONTSIDE CLEAN
valid_0410,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,PACKAGE PREPARATION,MEASURE PASSIVATION THICKNESS,DEPOSIT BACKSIDE METAL
valid_0411,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH
valid_0412,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE THICKNESS,IMPLANT N-TYPE,DEPOSIT PASSIVATION LAYER
valid_0413,STRIP PHOTORESIST,STRIP RESIST,OPEN PAD WINDOW LITHO,STRIP RESIST LEVEL 2,WAFER SORT TEST
valid_0414,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,ANNEAL POLYSILICON,MEASURE VIA RESISTANCE
valid_0415,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,FRONTSIDE CLEAN FINAL
valid_0416,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PARAMETRIC TEST,OPEN PAD WINDOW LITHO
valid_0417,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,VIA ETCH THROUGH DIELECTRIC,STRIP RESIST,CLEAN AFTER POLY ETCH
valid_0418,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,CLEAN PAD OPENING,MEASURE THICKNESS
valid_0419,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH,OPEN PAD WINDOW LITHO,WAFER SORT TEST
valid_0420,CURE PASSIVATION,PACKAGE PREPARATION,WAFER CLEAN PRE-GRIND,DEPOSIT BACKSIDE METAL,DEPOSIT POLYSILICON
valid_0421,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,DEPOSIT BARRIER METAL
valid_0422,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,CLEAN PAD OPENING,METAL ETCH
valid_0423,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,DEPOSIT BACKSIDE METAL
valid_0424,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,OXIDE STRIP,MEASURE PASSIVATION QUALITY,CLEAN AFTER VIA ETCH
valid_0425,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,STRIP RESIST
valid_0426,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,STRIP RESIST,OPEN BOND PAD WINDOW,SOFT BAKE
valid_0427,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH,RCA CLEAN 1
valid_0428,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE THICKNESS,MEASURE PASSIVATION QUALITY,PAD WINDOW LITHO
valid_0429,STRIP RESIST,STRIP PHOTORESIST,DEPOSIT POLYSILICON,SOFT BAKE,VIA ETCH THROUGH DIELECTRIC
valid_0430,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN BOND PAD WINDOW,MEASURE PAD OPENING,MEASURE RESISTIVITY
valid_0431,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,FINAL OXIDE CHECK
valid_0432,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN BOND PAD WINDOW,MEASURE PAD OPENING,DEPOSIT BARRIER METAL
valid_0433,STRIP RESIST,STRIP PHOTORESIST,DENSIFY DIELECTRIC,VIA ETCH,STRIP RESIST LEVEL 2
valid_0434,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CLEAN AFTER METAL ETCH
valid_0435,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT N BUFFER,VIA ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0436,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,MEASURE VIA CD
valid_0437,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH
valid_0438,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST
valid_0439,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH,WET CLEAN RCA1
valid_0440,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,ALIGN MASK LEVEL 4,DEPOSIT SPACER DIELECTRIC
valid_0441,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0442,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION THICKNESS,PACKAGE PREPARATION,MEASURE OXIDE THICKNESS
valid_0443,DEPOSIT BARRIER METAL,MEASURE VIA CD,OPEN PAD WINDOW LITHO,SWITCHING TEST,MEASURE CD LEVEL 2
valid_0444,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,IMPLANT N-TYPE,MEASURE OXIDE THICKNESS,MEASURE PASSIVATION THICKNESS
valid_0445,CLEAN AFTER VIA ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH
valid_0446,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE QUALITY,MEASURE PASSIVATION QUALITY,PAD WINDOW LITHO
valid_0447,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH
valid_0448,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE DIELECTRIC THICKNESS
valid_0449,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH
valid_0450,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,DEVELOP PAD WINDOW,DEPOSIT BARRIER METAL
valid_0451,MEASURE VIA CD,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 3,DEPOSIT BACKSIDE METAL,CLEAN AFTER VIA ETCH
valid_0452,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PARAMETRIC TEST,OPEN PAD WINDOW LITHO
valid_0453,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0454,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE
valid_0455,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT N BUFFER,OPEN PAD WINDOW LITHO,FINAL OXIDE CHECK
valid_0456,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 4
valid_0457,STRIP RESIST,STRIP PHOTORESIST,FINAL PARTICLE INSPECTION,DIELECTRIC ETCH VIA,EXPOSE LITHO LEVEL 5
valid_0458,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,MEASURE VIA RESISTANCE,ANNEAL POLYSILICON
valid_0459,HARD BAKE,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA OPENING INSPECTION
valid_0460,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,ANNEAL POLYSILICON,PARAMETRIC TEST,MEASURE VIA RESISTANCE
valid_0461,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,FINAL OXIDE CHECK
valid_0462,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,STRIP RESIST,OPEN BOND PAD WINDOW,PACKAGE PREPARATION
valid_0463,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,BACKSIDE ETCH CLEAN,WET CLEAN RCA2
valid_0464,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN BOND PAD WINDOW,MEASURE PAD OPENING,METAL PATTERN INSPECTION
valid_0465,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,METAL ETCH DRY
valid_0466,CURE PASSIVATION,DEPOSIT PASSIVATION,OPEN PAD WINDOW,WAFER SORT TEST,EXPOSE LITHO LEVEL 5
valid_0467,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,CLEAN PAD OPENING
valid_0468,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE QUALITY,OXIDE STRIP,MEASURE PASSIVATION QUALITY
valid_0469,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER METAL ETCH,DEPOSIT TUNGSTEN SEED
valid_0470,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO,MEASURE SURFACE PLANARITY
valid_0471,DEPOSIT BARRIER METAL,MEASURE VIA CD,OPEN PAD WINDOW LITHO,FINAL CD INSPECTION,IMPLANT N-TYPE
valid_0472,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,IMPLANT N BUFFER
valid_0473,STRIP RESIST,STRIP PHOTORESIST,FINAL PARTICLE INSPECTION,DIELECTRIC ETCH VIA,EXPOSE LITHO LEVEL 5
valid_0474,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PATTERN INSPECTION LEVEL 2,ANNEAL POLYSILICON
valid_0475,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,METAL ETCH DRY,FIELD OXIDE ETCH
valid_0476,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PATTERN INSPECTION LEVEL 2,CURE PASSIVATION,ANNEAL POLYSILICON
valid_0477,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH,CLEAN AFTER ETCH,DEPOSIT TUNGSTEN SEED
valid_0478,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE QUALITY,MEASURE PASSIVATION QUALITY,MEASURE EPITAXY THICKNESS
valid_0479,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH
valid_0480,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST
valid_0481,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,PAD WINDOW LITHO
valid_0482,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION THICKNESS,IMPLANT N-TYPE,PACKAGE PREPARATION
valid_0483,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,DEPOSIT BARRIER METAL
valid_0484,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PARAMETRIC TEST,OPEN PAD WINDOW LITHO
valid_0485,DEPOSIT BARRIER METAL,MEASURE VIA CD,HARD BAKE,IMPLANT N-TYPE,FINAL CD INSPECTION
valid_0486,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,MEASURE DIELECTRIC THICKNESS
valid_0487,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER METAL ETCH,DEPOSIT TUNGSTEN SEED
valid_0488,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,ANNEAL POLYSILICON,INSPECT PATTERN LEVEL 1
valid_0489,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER ETCH
valid_0490,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION QUALITY,MEASURE EPITAXY THICKNESS,MEASURE THICKNESS
valid_0491,STRIP PHOTORESIST,STRIP RESIST,DEPOSIT POLYSILICON,EXPOSE LITHO LEVEL 4,MEASURE METAL THICKNESS
valid_0492,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,MEASURE VIA RESISTANCE,VIA INSPECTION
valid_0493,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,FINAL OXIDE CHECK
valid_0494,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,STRIP RESIST
valid_0495,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH
valid_0496,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,MEASURE SHEET RESISTANCE,BACKSIDE THINNING CHECK
valid_0497,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,WET CLEAN RCA2,INSPECT PATTERN LEVEL 1
valid_0498,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 4
valid_0499,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,RCA CLEAN 1
valid_0500,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN BOND PAD WINDOW,STRIP RESIST,SOFT BAKE
valid_0501,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH
valid_0502,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,MEASURE DIELECTRIC THICKNESS,DEVELOP PAD WINDOW
valid_0503,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE CD LEVEL 2,HARD BAKE,OPEN PAD WINDOW LITHO
valid_0504,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,CLEAN PAD OPENING,PATTERN INSPECTION LEVEL 2
valid_0505,STRIP PHOTORESIST,STRIP RESIST,DIELECTRIC ETCH VIA,FINAL PARTICLE INSPECTION,DENSIFY DIELECTRIC
valid_0506,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,PACKAGE PREPARATION,MEASURE SURFACE UNIFORMITY,CLEAN AFTER METAL ETCH
valid_0507,STRIP RESIST,STRIP PHOTORESIST,DEPOSIT POLYSILICON,SOFT BAKE,VIA ETCH THROUGH DIELECTRIC
valid_0508,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,CLEAN AFTER METAL ETCH
valid_0509,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,CLEAN PAD OPENING
valid_0510,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PARAMETRIC TEST,MEASURE VIA RESISTANCE
valid_0511,HARD BAKE,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA OPENING INSPECTION
valid_0512,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,LEAKAGE TEST,FRONTSIDE CLEAN,MEASURE PASSIVATION THICKNESS
valid_0513,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SOFT BAKE,STRIP RESIST
valid_0514,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,ALIGN MASK LEVEL 4,DEPOSIT SPACER DIELECTRIC
valid_0515,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,FINAL OXIDE CHECK
valid_0516,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE
valid_0517,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,FINAL OXIDE CHECK
valid_0518,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PARAMETRIC TEST,WET CLEAN RCA1
valid_0519,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,PAD WINDOW LITHO
valid_0520,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE
valid_0521,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,FINAL OXIDE CHECK,VIA OPENING INSPECTION
valid_0522,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE DIELECTRIC THICKNESS
valid_0523,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,STRIP RESIST LEVEL 2,MEASURE METAL THICKNESS
valid_0524,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE THICKNESS,DEPOSIT PASSIVATION LAYER,IMPLANT N-TYPE
